,keyword,score
600,급여,3.0070348e-09
601,금액,3.006824e-09
602,확장,3.006097e-09
603,상호,3.0048724e-09
604,주제,3.0016318e-09
605,논의,3.0008516e-09
606,출산,2.986459e-09
607,융합,2.9707687e-09
608,협약,2.9685718e-09
609,피해,2.9679172e-09
610,내역,2.963494e-09
611,국민,2.9278695e-09
612,긴급,2.9221834e-09
613,형태,2.9213953e-09
614,하이닉스,2.9178933e-09
615,이전,2.914982e-09
616,대학교,2.913228e-09
617,원인,2.9130358e-09
618,주기,2.9119687e-09
619,특정,2.90925e-09
620,장치,2.8887819e-09
621,저장,2.8854117e-09
622,어르신,2.8840983e-09
623,중국,2.8833969e-09
624,사후,2.867323e-09
625,선택,2.866759e-09
626,제보,2.863685e-09
627,총회,2.8634168e-09
628,음성,2.8353173e-09
629,취업,2.832903e-09
630,환원,2.827023e-09
631,한편,2.8262395e-09
632,휴가,2.8244354e-09
633,증대,2.8238176e-09
634,후보,2.8207277e-09
635,심사,2.8188512e-09
636,독립,2.8187457e-09
637,제시,2.816869e-09
638,재무제표,2.814948e-09
639,행사,2.797152e-09
640,전용,2.7969769e-09
641,연구소,2.7927949e-09
642,케어,2.787769e-09
643,중소,2.780527e-09
644,육아,2.7790346e-09
645,마스크,2.776234e-09
646,예상,2.7754916e-09
647,균형,2.775248e-09
648,다음,2.7741258e-09
649,완화,2.7733593e-09
650,자녀,2.7426084e-09
651,사원,2.734518e-09
652,각종,2.733028e-09
653,코칭,2.730563e-09
654,적합,2.729502e-09
655,승인,2.7255886e-09
656,개소,2.7197662e-09
657,광고,2.704566e-09
658,경력,2.6991014e-09
659,상용,2.6976805e-09
660,아래,2.6968496e-09
661,설립,2.6904035e-09
662,성공,2.6883362e-09
663,획득,2.6860454e-09
664,최우선,2.6854312e-09
665,강판,2.6835096e-09
666,단기,2.6827593e-09
667,비전,2.6824958e-09
668,공사,2.6464828e-09
669,수자원,2.6460105e-09
670,캡스,2.6444904e-09
671,투자자,2.632445e-09
672,태양광,2.6223057e-09
673,대체,2.609863e-09
674,학생,2.606753e-09
675,원격,2.6025988e-09
676,직책,2.594629e-09
677,지수,2.5945774e-09
678,동향,2.594119e-09
679,준비,2.5936961e-09
680,부생,2.565367e-09
681,공공,2.5558344e-09
682,연도,2.5515479e-09
683,강사,2.5512554e-09
684,메모리,2.551045e-09
685,인터뷰,2.55061e-09
686,최종,2.5488287e-09
687,산하,2.546857e-09
688,임금,2.5456373e-09
689,수시,2.5455735e-09
690,판단,2.5452154e-09
691,주변,2.5366582e-09
692,공학,2.513975e-09
693,제철,2.5098255e-09
694,오염,2.5092133e-09
695,인간,2.5064697e-09
696,유동,2.5050912e-09
697,정도,2.5050213e-09
698,최근,2.5040998e-09
699,건물,2.4787967e-09
700,공간,2.475588e-09
701,국사,2.474764e-09
702,전기차,2.4671565e-09
703,부산물,2.4663094e-09
704,이용자,2.4658542e-09
705,선발,2.4655984e-09
706,조기,2.4642708e-09
707,유선,2.4638491e-09
708,홍보,2.461346e-09
709,트래픽,2.4589006e-09
710,기초,2.4586155e-09
711,동일,2.455942e-09
712,기대,2.4555944e-09
713,게임,2.4457831e-09
714,슬래그,2.4448867e-09
715,차세대,2.422012e-09
716,일부,2.4208868e-09
717,지능,2.4203266e-09
718,결합,2.4179798e-09
719,신사업,2.4161035e-09
720,상승,2.412082e-09
721,심화,2.4114255e-09
722,매출액,2.4107876e-09
723,트렌드,2.4105589e-09
