,keyword,score
669,주의,7.1445766e-10
670,예상,7.140154e-10
671,상정,7.138281e-10
672,디젤,7.027506e-10
673,라쿠텐,6.973755e-10
674,병기,6.969098e-10
675,출산,6.9519474e-10
676,인간,6.9510697e-10
677,손실,6.835026e-10
678,야기,6.797428e-10
679,가족,6.7938893e-10
680,석탄,6.734799e-10
681,재발,6.5512984e-10
682,격차,6.548086e-10
683,임면,6.5439276e-10
684,신재,6.5425365e-10
685,영문,6.5257083e-10
686,민원,6.5037414e-10
687,플랫,6.5013134e-10
688,과도,6.4969613e-10
689,부자재,6.4912015e-10
690,청정,6.488997e-10
691,다크,6.485913e-10
692,재해,6.4835026e-10
693,근무,6.481758e-10
694,중소기업,6.4816386e-10
695,폐기,6.474216e-10
696,체결,6.471777e-10
697,이미지,6.4709954e-10
698,기획,6.468152e-10
699,빈도,6.468104e-10
700,적응,6.4667693e-10
701,비교,6.4661654e-10
702,효익,6.4651223e-10
703,일치,6.4623934e-10
704,교환,6.461996e-10
705,상법,6.458937e-10
706,능동,6.4559114e-10
707,매장,6.4555794e-10
708,표결,6.4537964e-10
709,혁신,6.4512873e-10
710,분할,6.4507205e-10
711,현재,6.4495825e-10
712,여건,6.4443995e-10
713,소요,6.4420813e-10
714,상승,6.4401706e-10
715,청구,6.440009e-10
716,자기거래,6.439032e-10
717,편익,6.436735e-10
718,필수,6.436091e-10
719,일관,6.434862e-10
720,제안,6.434436e-10
721,담당자,6.432672e-10
722,수용,6.430265e-10
723,등기,6.422658e-10
724,육성,6.414053e-10
725,직장,6.0950894e-10
726,오프라인,6.077438e-10
727,미국,6.0618754e-10
728,감지,5.994752e-10
729,임신,5.992814e-10
730,외이,5.980255e-10
731,사직,5.980255e-10
732,연령,5.878846e-10
733,채택,5.869831e-10
734,이용자,5.841495e-10
735,발생량,5.836189e-10
736,대화,5.836023e-10
737,프리미엄,5.8197264e-10
738,매출,5.8070804e-10
739,하락,5.801735e-10
740,산업재,5.7941174e-10
741,수요,5.76775e-10
742,획득,5.764152e-10
743,물류,5.7589683e-10
744,이유,5.7542465e-10
745,허용,5.751772e-10
746,토론,5.750707e-10
747,원자재,5.749932e-10
748,인재,5.747651e-10
749,프로젝트,5.7473054e-10
750,질서,5.744272e-10
751,인벤토리,5.741759e-10
752,노출,5.740622e-10
753,평균,5.7396754e-10
754,개념,5.7381555e-10
755,다면,5.737463e-10
756,해외,5.732641e-10
757,평판,5.7325844e-10
758,운용,5.729695e-10
759,발행,5.7271027e-10
760,거래소,5.7263294e-10
761,불가,5.7255534e-10
762,규명,5.7242844e-10
763,적시,5.723491e-10
764,피드백,5.7210403e-10
765,출원,5.720116e-10
766,한편,5.7191496e-10
767,주가,5.7158944e-10
768,나라,5.714849e-10
769,인과,5.71344e-10
770,등급,5.7111627e-10
771,예산,5.7101845e-10
772,위험관리,5.7082683e-10
773,차기,5.706715e-10
774,합의,5.705457e-10
775,표명,5.700991e-10
776,발표,5.6998156e-10
777,데스크,5.4612437e-10
778,헬프,5.4612437e-10
779,관리법,5.23475e-10
780,보호법,5.213802e-10
781,구입,5.157575e-10
782,위협,5.127586e-10
783,교류,5.0988863e-10
784,모바일,5.0969373e-10
785,부담,5.0908683e-10
786,협회,5.0810367e-10
787,개인정보,5.079042e-10
788,공동,5.0764243e-10
789,통업,5.0751975e-10
790,친화,5.070643e-10
791,게임,5.066374e-10
792,노사,5.0653864e-10
793,공단,5.061066e-10
794,위탁,5.060497e-10
795,브랜드,5.057324e-10
796,대기,5.057311e-10
797,폐수,5.053773e-10
798,계절,5.0535515e-10
799,기간제,5.0480514e-10
800,패턴,5.042917e-10
801,편의,5.042385e-10
802,제외,5.041821e-10
803,대처,5.04002e-10
804,각국,5.03982e-10
805,취급자,5.038322e-10
806,구제,5.037953e-10
807,결함,5.0358984e-10
808,환경부,5.032728e-10
809,안전사고,5.0305915e-10
810,조절,5.029981e-10
811,제출,5.0282956e-10
812,방어,5.02795e-10
813,유치,5.027924e-10
814,법상,5.0278665e-10
815,섹터,5.026876e-10
816,초과,5.026865e-10
817,일자리,5.02568e-10
818,원회,5.0256593e-10
819,재난,5.021138e-10
820,지원금,5.020984e-10
821,단체교섭,5.018057e-10
822,모색,5.0164595e-10
823,계속,5.0162163e-10
824,채용,5.015543e-10
825,탄력,5.013306e-10
826,경계,5.011984e-10
827,사기,5.011423e-10
828,책정,5.0106386e-10
829,의도,5.009655e-10
830,발간,5.008569e-10
831,지식,5.008458e-10
832,가정,5.008238e-10
833,정립,5.0080584e-10
834,마케팅,5.008058e-10
835,작용,5.00714e-10
836,트렌드,5.006738e-10
837,대리인,5.006609e-10
838,문헌,5.0062415e-10
839,대안,5.004999e-10
840,회원,5.004021e-10
841,상태,5.0038057e-10
842,업종,5.0036825e-10
843,분산,5.003465e-10
844,토대,5.001969e-10
845,서류,5.000686e-10
846,실제,4.998629e-10
847,강구,4.99842e-10
848,실천,4.9973803e-10
849,의결,4.9969845e-10
850,기초,4.9968396e-10
851,규범,4.9950577e-10
852,과반수,4.993738e-10
853,시정,4.9930954e-10
854,심의,4.9929655e-10
855,연간,4.992689e-10
